receipt_name,full_product_title,general_product_title,store,product_database
ALMOND JOY SNACK , Almond joy snack , Candy , Publix,ALMOND
SUNKIST ORANGE , Sunkist orange , Oranges , Publix,ORANGE
TGIF POPCORN CKN , TGIF popcorn chicken , Popcorn chicken , Publix,POPCORN CHICKEN
DELIZZA ECLAIRS , Delizza eclairs , Eclairs , Publix,ECLAIRS
UNBLEACHED BRD FLR , Unbleached bread flour , Bread flour , Publix,UNBLEACHED BREAD FLOUR
CANTALOUPES , Cantaloupes , Cantaloupes , Publix,CANTALOUPE
MOTTS APP WHT GRP , Motts apple white grape juice , Juice , Publix,WHITE GRAPE JUICE
PBLX ITAL BRD CRMB , Publix Italian bread crumbs , Bread crumbs , Publix,BREAD CRUMBS
KENS BALS/BASIL , Kens balsamic/basil dressing , Salad dressing , Publix,BASIL
KENS RANCH , Kens ranch , Ranch , Publix,"KEN'S STEAK HOUSE, DRESSING, RANCH"
PETER PAN PNUT/BTR , Peter Pan peanut butter , Peanut butter , Publix,PETER PAN CREAMY PEANUT BUTTER
MAXWELL HOUSE COFF , Maxwell House coffee , Coffee , Publix,COFFEE
PUBLIX MARINARA SA , Publix marinara sauce , Marinara sauce , Publix,"PUBLIX, PREMIUM MARINARA PASTA SAUCE"
EUREKA WHEAT BRD , Eureka wheat bread , Bread , Publix,WHITE BREAD
KRO 1% LF MILK , Kroger 1% lowfat milk , Milk , Kroger,MILK
KROGER KTL CHPS , Kroger kettle chips , Chips , Kroger,"KROGER, KETTLE COOKED POTATO CHIPS"
KRO BREAD , Kroger bread , bread , Kroger,BREAD
MCCORMCK CHLI MX , McCormick Chili Mix , Spices , Kroger,"MCCORMICK, CHILI SEASONING MIX"
ROMAINE HEARTS , Romaine hearts , Romaine , Kroger,ROMAINE HEARTS
KRO GRND TRKY , Kroger ground turkey , Ground turkey , Kroger,GROUND TURKEY
CKN BRST BL SL , Chicken breast boneless skinless , Chicken breast , Kroger,CHICKEN BREAST
KROGER MUSTARD , Kroger mustard , Mustard , Kroger,MUSTARD
KRO PASTA SAUCE , Kroger pasta sauce , Pasta sauce , Kroger,PASTA SAUCE
KROGER BEANS , Kroger beans , Beans , Kroger,BEANS
APL CRIPPS PINK , Cripps pink apple , Apples , Kroger,RAW CRIPPS PINK APPLE JUICE
KROGER FRZN VEG , Kroger frozen vegetables , Frozen vegetables , Kroger,FRESH FROZEN VEGETABLES
KRO GRK VAN YOGURT , Kroger greek vanilla yogurt , Yogurt , Kroger,NONFAT GREEK VANILLA YOGURT
PRSL PIZZA , Private selections pizza , Pizza , Kroger,PIZZA
STO BABY ARUGULA , Simple Truth Organic baby arugula, Baby arugula , Kroger,"SIMPLE TRUTH ORGANIC, BABY ARUGULA"
NBSC BLVTA , Nabisco belVita , Breakfast biscuit , Kroger,NABISCO BELVITA BISCUIT 1X
MCCAFE COFFEE , McCafe coffee , Coffee , Kroger,COFFEE
KRO HONEY BEAR , Kroger honey bear , Honey , Kroger,HONEY
KROGER OATS , Kroger oats, Oats , Kroger,OATS
HALOTOP ICE CREAM , Halo Top ice cream , Ice cream , Kroger,ICE CREAM
KRO PEANUT BUTTER , Kroger peanut butter , Peanut butter , Kroger,PEANUT BUTTER
MRES DRSNG , Maries dressing , Salad dressing , Kroger,"MARIE'S, LITE CREAMY RANCH DRESSING & DIP"
CASCADIAN GRANOLA , Cascadian Farms granola , Granola , Kroger,GRANOLA
ST COOKIES , Simple Truth Cookies , Cookies , Kroger,COOKIES
CA PZ KTCH PIZZA , California Pizza Kitchen pizza , Pizza , Kroger,"CALIFORNIA PIZZA KITCHEN, WHITE CRISPY THIN CRUST PIZZA"
STO BLUE TORTILLA , Simple Truth Organic blue tortilla chips , Tortilla chips , Kroger,BLUE TORTILLA CHIPS
KROGER EGGS , Kroger eggs , Eggs , Kroger,EGGS
STO WHITE TORTILLA , Simple truth organic white tortilla chips , Tortilla chips , Kroger,ORGANIC WHITE TORTILLA CHIPS
KRO DRIED CRANBERR , Kroger dried cranberries , Cranberries , Kroger,DRIED CRANBERRIES
APPLES HONEYCRISP , Honeycrisp apples , Apples , Kroger,HONEYCRISP APPLES
STO ORG TOFU,Simple Truth Organic Tofu,tofu,Kroger,ORGANIC SOFT TOFU
STO FRZ CHERRIES,Simple Truth Organic Frozen Cherries,frozen cherries,Kroger,MARASCHINO CHERRIES
KRO PICKLES,Kroger Pickles,pickles,Kroger,PICKLES
KRO STHWEST KIT,Kroger SouthWest Salad Kit,salad kit,Kroger,PREMIUM SOUTHWEST SALAD KIT
KRO SHRED CHEESE,Kroger Shredded Cheese,shredded cheese,Kroger,SHREDDED CHEESE
AVOCADO HASS,Avocado Hass,avocado,Kroger,HASS AVOCADOS
GARLIC X-JUMBO,clove of garlic,clove garlic,Kroger,WHOLE CLOVE GARLIC
GRAPEFRUIT RED ESTPC,grapefruit red,grapefruit,Kroger,RED GRAPEFRUIT
VGND SWT POT SPR PC,Veggie Noodle Sweet Potato Spirals,veggie noodle sweet potato spirals,Kroger,SWEET POTATO SPIRALS
CELERY,celery,celery,Kroger,CELERY
MC CILANTRO LEAVES,cilantro leaves,cilantro,Publix,"TERANA, CHOPPED CILANTRO LEAVES"
TOMATO ON THE VINE,tomato on the vine,tomato,Publix,TOMATOES ON THE VINE
AVOCADOS HASS,avocado Hass,avocado,Publix,HASS AVOCADOS
CHERRIES,cherries,cherries,Publix,MARASCHINO CHERRIES
PEACHES PREMIUM,peaches premium,peaches,Publix,PEACHES
ONION SPANISH,onion spanish,onion,Publix,ONION
MCCORMICK OREGANO,mccormick oregano,oregano,Publix,OREGANO
MANDARINS,mandarins,mandarins,Publix,MANDARINS
BANANAS,bananas,bananas,Publix,BANANAS
CHICKEN TENDERS,chicken tenders,chicken tenders,Publix,CHICKEN TENDERS
TERRAPIN IPA,terrapin IPA,terrapin IPA,Publix,
GARDEN LIFE ROMAIN,Garden Life Romain lettuce,lettuce,Publix,"KROGER, FRESH SELECTIONS, AMERICAN BLEND; ROMAIN LETTUCE, ICEBERG LETTUCE, RED CABBAGE, CARROTS & RADISH"
CUCUMBERS,cucumbers,cucumbers,Publix,fresh cucumbers
PBX ART SPIN DIP,publix artichoke spinach dip,artichoke spinach dip,Publix,ARTICHOKE SPINACH DIP
3PC CHICK TEN DIN,3 piece chicken tender dinner,chicken tenders,Publix,CHICKEN TENDERS
CAPE COD WAVES SLT,cape cod waves salted potato chips,potato chips,Publix,POTATO CHIPS
BARCEL TAKIS FUEGO,Barcel Takis Fuego,chips,Publix,"BARCEL, TAKIS, TORTILLA CHIPS, HOT"
PUBLIX FROZEN FRUI,publix frozen fruit,frozen fruit,Publix,FROZEN FRUIT BLEND
DAISY COTT CHS 2%,Daisy cottage cheese 2%,cottage cheese,Publix,COTTAGE CHEESE
PEP FARM GOLDFISH,Pepridge Farm Goldfish,goldfish,Shaws,
SIG POPCORN WHITE,Signature White Popcorn,pocorn,Shaws,WHITE POPCORN
SIG GREEN BEANS WH,Signature Whole Green Beans Canned,canned green beans,Shaws,WHOLE GREEN BEANS
COLLEGE INN BOLD,College Inn Beef Broth,beef broth,Shaws,BEEF BROTH
QUAKER CEREAL LIFE,quaker life cereal,cereal,Shaws,Quaker Life Cinnamon Cereal 18 Ounce Paper Box
OCEAN SPRAY JUICE,Ocean Spray Juice,juice,Shaws,
MARTINELLI CIDAR S,Martinelli Cidar,cidar,Shaws,"MARTINELLI'S GOLD MEDAL, SPARKLING CIDER"
WELCHS SPARKLING,Welchs Sparkling Grape Juice,sparkling grape juice,Shaws,SPARKLING GRAPE JUICE
NBC OREO CKY REG,Nabisco Oreo Cookie regular,oreos,Shaws,NABISCO OREO COOKIES OREO 1X10.700 OZ
COCA COLA CLASSIC,coca cola classic,coke,Shaws,CLASSIC COLA
PILLS BREAD FLOUR,Pillsbury Bread Flour,flour,Shaws,BREAD FLOUR
GATORADE CHERRY,cherry gatorade,gatorade,Shaws,Gatorade Frost Glacier Cherry Thirst Quencher 32 Fluid Ounce Bottle
GATORADE GLACIER,gatorade glacier,gatorade,Shaws,Gatorade Frost Glacier Cherry Thirst Quencher 32 Fluid Ounce Bottle
MS GARLIC SALT,McCormick Garlic Salt,garlic salt,Shaws,GARLIC SALT
ARIZONA SWT TEA,Arizona Sweet Tea,sweet tea,Shaws,"ARIZONA, SWEET TEA"
PLN CRN RCE SNK,Plain Corn Rice Snack,corn rice snack,Shaws,CRUNCHY RICE SNACK
TWINIGS CLSC PRNCE,Twinings Classic Prince of Whales,tea,Shaws,
BC COOL IN BLUE 6,BC Cool in Blue 6 types,sprinkles,Shaws,
CL GEL FOOD COLORS,Gel Food colors,food coloring,Shaws,GEL FOOD COLORS
BIGELOW TEA OOLONG,Bigelow Oolong Tea ,tea,Shaws,ORGANIC OOLONG TEA BAGS
MINI PRETZELS,mini pretzels,pretzels,Shaws,MINI PRETZELS
CD CRAN LM SLTZER,Canned Cranberry Lime Seltzer,selter,Shaws,CRANBERRY LIME SELTZER
DELI,Everything Bagels,bagels,Publix,"WEIS, CLASSIC BAGELS, ONION"
PBX SHR MON/JK CHS,Publix Shredded Monteray Jack Cheese,monteray jack cheese,Publix,COLBY AND MONTEREY JACK FINELY SHREDDED CHEESE
LEAN GROUND BEEF,lean ground beef,ground beef,Publix,LEAN GROUND BEEF
KFT CUPS 3 CHEESE,Kraft Macaroni and Cheese Cups Triple Cheese,mac and cheese cups,Publix,MAC & CHEESE
MARUCH ORIENT 6PK,Maruch Ramen Noodles Oriental Flavor 6pk,ramen noodles,Publix,RAMEN NOODLES
GRANDS! BUTTERMILK,Pillsbury Grands! Southern Homestyle Buttermilk biscuits,biscuits,Publix,BUTTERMILK BISCUITS
PACE THIK/CHUNK SA,Pace Thick and Chunky Salsa,salsa,Publix,"PACE, CHUNKY SALSA"
PUBLIX SOUR CREAM LT,publix sour cream light,sour cream,Publix,SOUR CREAM
SPINACH PUBLIX,spinach publix,spinach,Publix,LEAF SPINACH
MCCORMICK TACO MIX,McCormick Taco Mix,taco mix,Publix,CHIPOTLE TACO MIX
BRC FLRT EAT SMART,Broccoli florret eat smart,broccoli florret,Publix,BROCCOLI
KIKKOMAN SOY SAUCE,Kikkoman soy sauce,soy sauce,Publix,SOY SAUCE
GRAPES WHT SDLS,grapes white seedless,grapes,Publix,GREEN GRAPE
slice onion squash,sliced onion and squash package,onion and squash,Publix,SQUASH WITH VIDALIA ONIONS
STIR FRY MX 4 SRV,Stir fry mix 4 serving,stir fry mix,Publix,ASIAN STYLE STIR FRY BLEND
NV PROTEIN BARS,Nature Valley Protein Bars,protein bars,Publix,Nature Valley Sweet & Salty Roasted Mixed Nut Granola Bar
BELL PEPPERS RED,bell peppers red,bell peppers,Publix,FIRE ROASTED RED BELL PEPPERS
PEAS SNOW MICRO,peas snow microwave,peas snow,Publix,"PUBLIX, SNOW PEAS"
KIND NUTRITI FB,Kind nutrition bar,nutrition bar,Target,"KIND HEALTHY GRAINS, CHEWY WITH A CRUNCH GRANOLA BAR, DARK CHOCOLATE CHUNK"
NATR VAL BAR FB,Nature Valley Protein Bars,protein bars,Target,Nature Valley Sweet & Salty Roasted Mixed Nut Granola Bar
ORG ZUCCHINI,organic zucchini,zucchini,Publix,ORGANIC ZUCCHINI SQUASH
BROCCOLETTI,broccoli florret,broccoli,Publix,BROCCOLI
PEPPERS GREEN BELL,peppers green bell,peppers bell,Publix,DICED GREEN BELL PEPPERS
GRAPES RED SDLS,graoes red seedless,grapes,Publix,RED GRAPES
ONIONS YELLOW,onions yellow,onions,Publix,YELLOW ONIONS
BEEF FOR STIR FRY,Beef for stir fry,beef strips,Publix,ASIAN INSPIRED BEEF STRIPS
GW EVRTHNG BGLS 4C,everything bagels 4 count,everything bagels,Publix,EVERYTHING BAGELS
PBX SHRD MILD CHD,publix shredded  mild cheddar cheese,shredded cheese,Publix,SHREDDED MILD CHEDDAR CHEESE
FRNKS BUFF WNG SAU,buffalo wing sauce,buffalo wing sauce,Publix,BUFFALO WING SAUCE
PUB RANCH DRESS,publix ranch dressing,ranch dressing,Publix,"HIDDEN VALLEY, RANCH DRESSING"
BNLS CHICK BREST,chicken breast,chicken brest,Publix,RAW STUFFED CHICKEN BREASTS
SEA SCALLOPS,sea scallops,sea scallops,Publix,SEA SCALLOPS
PHIL CREAM CHEESE,philadelphia cream cheese,cream cheese,Publix,PHILADELPHIA CREAM CHEESE-SOFT LIGHT
santtitas yel corn,santtitas yellow corn,yellow corn,Publix,CORN
NESTLE MORSELS,nestle morsels chocolate chips,chocolate chips,Publix,"NESTLE, GRAND ASSORTED CHOCOLATE"
PUBLIX CREAM CHEES,publix cream cheese,cream cheese,Publix,PHILADELPHIA CREAM CHEESE-SOFT LIGHT
