receipt_name,full_product_title,general_product_title,store,database,no_brand_descriptor_title,no_descriptor_title
BEANS ORGANIC GARBANZO,organic garbanzo beans,garbanzo beans,trader joes,ORGANIC GARBANZO BEANS,ORGANIC GARBANZO BEANS,ORGANIC GARBANZO BEANS
CHOC CHUNKS SEMI SWEET 10 OZ,semi sweet chocolate chunks,chocolate,trader joes,CHOCOLATE CHUNK,CHOCOLATE CHUNK,CHOCOLATE CHUNK
SPAGHETTI TOMATO SAUCE ORGANIC,organic spaghetti tomato sauce,tomato sauce,trader joes,TOMATO SAUCE,TOMATO SAUCE,TOMATO SAUCE
A-POTATO EACH RUSSET,russet potato,potato,trader joes,POTATOES,POTATOES,POTATOES
R-CARROTS WHOLE ORG,organic carrots,carrot,trader joes,CARROTS,CARROTS,CARROTS
A-AVOCADOS EACH HASS 40 CT,hass avocados,avocados,trader joes,AVOCADO,AVOCADO,AVOCADO
A-CUCUMBERS PERSIAN 14 OZ,persian cucumbers,cucumbers,trader joes,PERSIAN CUCUMBER,PERSIAN CUCUMBER,PERSIAN CUCUMBER
TRADITIONAL REFRIED BEANS,refried beans,beans,trader joes,REFRIED BEANS,REFRIED BEANS,REFRIED BEANS
GV 2 RF MLK,great value 2% reduced fat milk,milk,walmart,2% REDUCED FAT MILK,2% REDUCED FAT MILK,2% REDUCED FAT MILK
PANCAKE MIX,pancake mix,pancake mix,walmart,PANCAKE MIX,PANCAKE MIX,PANCAKE MIX
HNY MPL BCN,honey maple bacon,bacon,walmart,BACON,BACON,BACON
SAUS LINKS,sausage links,sausage,walmart,SAUSAGE LINKS,SAUSAGE LINKS,SAUSAGE LINKS
GARLIC SALT,garlic salt,garlic salt,walmart,GARLIC SALT,GARLIC SALT,GARLIC SALT
JALAPENO,jalapeno,jalapeno,walmart,JALAPENO,JALAPENO,JALAPENO
GV CHED SHED,great value shredded cheddar,cheese,walmart,CHEDDAR,CHEDDAR,CHEDDAR
GV BRWN RICE,great value brown rice,brown rice,walmart,BROWN RICE,BROWN RICE,BROWN RICE
BELL PEPPER,bell pepper,bell pepper,walmart,BELL PEPPER STRIPS,BELL PEPPER STRIPS,BELL PEPPER STRIPS
RED PEPPER,red pepper,red pepper,walmart,RED PEPPER,RED PEPPER,RED PEPPER
ORANGE PEPPER,orange pepper,orange pepper,walmart,ORANGE PEPPER,ORANGE PEPPER,ORANGE PEPPER
EGGS,eggs,eggs,walmart,EGGS,EGGS,EGGS
CILANTRO,cilantro,ciltrano,walmart,CILANTRO,CILANTRO,CILANTRO
1PCT MILK,1% milk,milk,kroger,MILK,MILK,MILK
KROGER JUICE,kroger juice,orange juice,kroger,JUICE,JUICE,JUICE
GM CINN TST CRUNCH,general mills cinnamon toast crunch,cereal,kroger,GENERAL MILLS CEREAL CINNAMON TOAST CRUNCH,GENERAL MILLS CEREAL CINNAMON TOAST CRUNCH,GENERAL MILLS CEREAL CINNAMON TOAST CRUNCH
KRO JAM,kroger jam,jam,kroger,JAM,JAM,JAM
STO POWER GREENS,simple truth organic power greens,spinach,kroger,POWER GREENS,POWER GREENS,POWER GREENS
STO RED DEL POUCH,simple truth organic red delicious apples,apples,kroger,RED DELICIOUS APPLES,RED DELICIOUS APPLES,RED DELICIOUS APPLES
CARROTS,carrots,carrots,kroger,CARROTS,CARROTS,CARROTS
KRO COF MOOSE TRK,kroger coffee moose tracks greek yogurt,yogurt,kroger,GREEK YOGURT,GREEK YOGURT,GREEK YOGURT
LINDT CHOCOLATE,lindt chocolate,chocolate,kroger,"LINDT, MILK CHOCOLATE",MILK CHOCOLATE,"LINDT, MILK CHOCOLATE"
GREEN PEPPERS,green peppers,green bell peppers,kroger,GREEN PEPPER,GREEN PEPPER,GREEN PEPPER
LIMES,limes,limes,kroger,PERSIAN LIMES,PERSIAN LIMES,PERSIAN LIMES
AVOCADO HASS,avocado hass,avocados,kroger,AVOCADO,AVOCADO,AVOCADO
ONION YLW COLOSS,yellow onion,onions,kroger,YELLOW ONION,YELLOW ONION,YELLOW ONION
POTATO RUSSET,russet potato,potatoes,kroger,RUSSET POTATO,RUSSET POTATO,RUSSET POTATO
KRO BREAD,kroger bread,bread,kroger,BREAD,BREAD,BREAD
GTS KOMBCHA,gts kombucha,kombucha,kroger,"GT'S, ORGANIC RAW KOMBUCHA, CITRUS",ORGANIC RAW KOMBUCHA,"GT'S, ORGANIC RAW KOMBUCHA"
CHETO HOT PUFFS,cheetos hot puffs,chips,publix,Cheetos Hot 9.5z,Cheetos Hot 9.5z,Cheetos Hot 9.5z
CHETO PUFFS CHEESE,cheetos cheese puffs,chips,publix,Cheetos Puffs Cheese Flavored Snacks 2.375 Ounce Plastic Bag,Cheetos Puffs Cheese Flavored Snacks 2.375 Ounce Plastic Bag,Cheetos Puffs Cheese Flavored Snacks 2.375 Ounce Plastic Bag
LAYS PARTY SIZE,lays party size,chips,publix,Lays Baked Potato Crisps 10.25 ounce Plastic Bag,Lays Baked Potato Crisps 10.25 ounce Plastic Bag,Lays Baked Potato Crisps 10.25 ounce Plastic Bag
LACROIX BERRY WTR,lacroix berry water,soda,publix,"LACROIX, CURATE NATURALLY ESSENCED SPARKLING WATER, PINK GRAPEFRUIT",CURATE NATURALLY ESSENCED SPARKLING WATER,"LACROIX, CURATE NATURALLY ESSENCED SPARKLING WATER"
LACROIX ORANGE,lacroix orange,soda,publix,"LACROIX, CURATE NATURALLY ESSENCED SPARKLING WATER, PINK GRAPEFRUIT",CURATE NATURALLY ESSENCED SPARKLING WATER,"LACROIX, CURATE NATURALLY ESSENCED SPARKLING WATER"
COCA-COLA CLASSIC,coca-cola classic,soda,publix,Coca-Cola Bottle 20 fl oz,Coca-Cola Bottle 20 fl oz,Coca-Cola Bottle 20 fl oz
COCA-COLA ZERO,coca-cola zero,soda,publix,"Coca-Cola Zero Sugar Bottle, 8.5 fl oz",Coca-Cola Zero Sugar Bottle,Coca-Cola Zero Sugar Bottle
SPRITE,sprite,soda,publix,"Sprite Bottle, 20 fl oz",Sprite Bottle,Sprite Bottle
CHERRY COKE,cherry coke,soda,publix,"Coca-Cola Cherry Bottles, 16.9 fl oz, 6 Pack",Coca-Cola Cherry Bottles,Coca-Cola Cherry Bottles
C SHLBY CHLI,carroll shelbys chili kit,spices,kroger,"CARROLL SHELBY'S, ORIGINAL TEXAS BRAND, CHILI SEASONING KIT",ORIGINAL TEXAS BRAND,"CARROLL SHELBY'S, ORIGINAL TEXAS BRAND"
RED BARRON PIZZA,red barron pizza,pizza,kroger,"RED BARRON, PIZZA, SAUSAGE, SUPREME",PIZZA,"RED BARRON, SAUSAGE"
CHICKN BROTH,chicken broth,chicken broth,walmart,CHICKEN BROTH,CHICKEN BROTH,CHICKEN BROTH
GV BBQ,great value barbeque sauce,barbeque sauce,walmart,BARBEQUE SAUCE,BARBEQUE SAUCE,BARBEQUE SAUCE
KETCHUP,ketchup,ketchup,walmart,KETCHUP,KETCHUP,KETCHUP
GV ORANG JCE,great value orange juice,orange juice,walmart,ORANGE JUICE,ORANGE JUICE,ORANGE JUICE
3 ORANGES,3 lb oranges,oranges,walmart,ORANGES,ORANGES,ORANGES
SHALLOTS,shallots,shallots,walmart,SHALLOTS,SHALLOTS,SHALLOTS
GREEN ONION,green onion,green onion,walmart,GREEN ONIONS,GREEN ONIONS,GREEN ONIONS
GINGER ROOT,ginger root,ginger,walmart,GINGER,GINGER,GINGER
CARROTS SNACK SIZE,snack size carrots,carrots,publix,CARROTS,CARROTS,CARROTS
TOTINOS PIZZA,totinos pizza rolls,pizza rolls,publix,Totino's Pepperoni Pizza Rolls 160ct,Totino's Pepperoni Pizza Rolls 160ct,Totino's Pepperoni Pizza Rolls 160ct
APPLES MCINTOSH LG,large mcintosh apples,apples,publix,MCINTOSH APPLES,MCINTOSH APPLES,MCINTOSH APPLES
PEARS BARTLETT,bartlett pears,pears,publix,PEARS,PEARS,PEARS
CHWY PPRMNT MENTOS,chewy peppermint mentos,mints,publix,"MENTOS, NOWMINTS SUGARFREE MINTS, PEPPERMINT",NOWMINTS SUGARFREE MINTS,"MENTOS, NOWMINTS SUGARFREE MINTS"
OJ TROP PURE,tropicana pure orange juice,orange juice,publix,ORANGE JUICE,ORANGE JUICE,ORANGE JUICE
PUBLIX MILK,publix milk,milk,publix,MILK,MILK,MILK
ALMOND JOY SNACK,almond joy snack,candy,publix,ALMOND,ALMOND,ALMOND
SUNKIST ORANGE,sunkist orange,oranges,publix,ORANGE,ORANGE,ORANGE
TGIF POPCORN CKN,tgif popcorn chicken,popcorn chicken,publix,POPCORN CHICKEN,POPCORN CHICKEN,POPCORN CHICKEN
DELIZZA ECLAIRS,delizza eclairs,eclairs,publix,ECLAIRS,ECLAIRS,ECLAIRS
UNBLEACHED BRD FLR,unbleached bread flour,bread flour,publix,UNBLEACHED BREAD FLOUR,UNBLEACHED BREAD FLOUR,UNBLEACHED BREAD FLOUR
CANTALOUPES,cantaloupes,cantaloupes,publix,CANTALOUPE,CANTALOUPE,CANTALOUPE
MOTTS APP WHT GRP,motts apple white grape juice,juice,publix,WHITE GRAPE JUICE,WHITE GRAPE JUICE,WHITE GRAPE JUICE
PBLX ITAL BRD CRMB,publix italian bread crumbs,bread crumbs,publix,BREAD CRUMBS,BREAD CRUMBS,BREAD CRUMBS
KENS BALS/BASIL,kens balsamic/basil dressing,salad dressing,publix,BASIL,BASIL,BASIL
KENS RANCH,kens ranch,ranch,publix,"KEN'S STEAK HOUSE, DRESSING, RANCH",DRESSING,"KEN'S STEAK HOUSE, DRESSING"
PETER PAN PNUT/BTR,peter pan peanut butter,peanut butter,publix,PETER PAN CREAMY PEANUT BUTTER,PETER PAN CREAMY PEANUT BUTTER,PETER PAN CREAMY PEANUT BUTTER
MAXWELL HOUSE COFF,maxwell house coffee,coffee,publix,COFFEE,COFFEE,COFFEE
PUBLIX MARINARA SA,publix marinara sauce,marinara sauce,publix,"PUBLIX, PREMIUM MARINARA PASTA SAUCE",PREMIUM MARINARA PASTA SAUCE,"PUBLIX, PREMIUM MARINARA PASTA SAUCE"
EUREKA WHEAT BRD,eureka wheat bread,bread,publix,WHITE BREAD,WHITE BREAD,WHITE BREAD
KRO 1% LF MILK,kroger 1% lowfat milk,milk,kroger,MILK,MILK,MILK
KROGER KTL CHPS,kroger kettle chips,chips,kroger,"KROGER, KETTLE COOKED POTATO CHIPS",KETTLE COOKED POTATO CHIPS,"KROGER, KETTLE COOKED POTATO CHIPS"
MCCORMCK CHLI MX,mccormick chili mix,spices,kroger,"MCCORMICK, CHILI SEASONING MIX",CHILI SEASONING MIX,"MCCORMICK, CHILI SEASONING MIX"
ROMAINE HEARTS,romaine hearts,romaine,kroger,ROMAINE HEARTS,ROMAINE HEARTS,ROMAINE HEARTS
KRO GRND TRKY,kroger ground turkey,ground turkey,kroger,GROUND TURKEY,GROUND TURKEY,GROUND TURKEY
CKN BRST BL SL,chicken breast boneless skinless,chicken breast,kroger,CHICKEN BREAST,CHICKEN BREAST,CHICKEN BREAST
KROGER MUSTARD,kroger mustard,mustard,kroger,MUSTARD,MUSTARD,MUSTARD
KRO PASTA SAUCE,kroger pasta sauce,pasta sauce,kroger,PASTA SAUCE,PASTA SAUCE,PASTA SAUCE
KROGER BEANS,kroger beans,beans,kroger,BEANS,BEANS,BEANS
APL CRIPPS PINK,cripps pink apple,apples,kroger,RAW CRIPPS PINK APPLE JUICE,RAW CRIPPS PINK APPLE JUICE,RAW CRIPPS PINK APPLE JUICE
KROGER FRZN VEG,kroger frozen vegetables,frozen vegetables,kroger,FRESH FROZEN VEGETABLES,FRESH FROZEN VEGETABLES,FRESH FROZEN VEGETABLES
KRO GRK VAN YOGURT,kroger greek vanilla yogurt,yogurt,kroger,NONFAT GREEK VANILLA YOGURT,NONFAT GREEK VANILLA YOGURT,NONFAT GREEK VANILLA YOGURT
PRSL PIZZA,private selections pizza,pizza,kroger,PIZZA,PIZZA,PIZZA
STO BABY ARUGULA,simple truth organic baby arugula,baby arugula,kroger,"SIMPLE TRUTH ORGANIC, BABY ARUGULA",BABY ARUGULA,"SIMPLE TRUTH ORGANIC, BABY ARUGULA"
NBSC BLVTA,nabisco belvita,breakfast biscuit,kroger,NABISCO BELVITA BISCUIT 1X,NABISCO BELVITA BISCUIT 1X,NABISCO BELVITA BISCUIT 1X
MCCAFE COFFEE,mccafe coffee,coffee,kroger,COFFEE,COFFEE,COFFEE
KROGER OATS,kroger oats,oats,kroger,OATS,OATS,OATS
HALOTOP ICE CREAM,halo top ice cream,ice cream,kroger,ICE CREAM,ICE CREAM,ICE CREAM
KRO PEANUT BUTTER,kroger peanut butter,peanut butter,kroger,PEANUT BUTTER,PEANUT BUTTER,PEANUT BUTTER
MRES DRSNG,maries dressing,salad dressing,kroger,"MARIE'S, LITE CREAMY RANCH DRESSING & DIP",LITE CREAMY RANCH DRESSING & DIP,"MARIE'S, LITE CREAMY RANCH DRESSING & DIP"
CASCADIAN GRANOLA,cascadian farms granola,granola,kroger,GRANOLA,GRANOLA,GRANOLA
ST COOKIES,simple truth cookies,cookies,kroger,COOKIES,COOKIES,COOKIES
CA PZ KTCH PIZZA,california pizza kitchen pizza,pizza,kroger,"CALIFORNIA PIZZA KITCHEN, WHITE CRISPY THIN CRUST PIZZA",WHITE CRISPY THIN CRUST PIZZA,"CALIFORNIA PIZZA KITCHEN, WHITE CRISPY THIN CRUST PIZZA"
STO BLUE TORTILLA,simple truth organic blue tortilla chips,tortilla chips,kroger,BLUE TORTILLA CHIPS,BLUE TORTILLA CHIPS,BLUE TORTILLA CHIPS
STO WHITE TORTILLA,simple truth organic white tortilla chips,tortilla chips,kroger,ORGANIC WHITE TORTILLA CHIPS,ORGANIC WHITE TORTILLA CHIPS,ORGANIC WHITE TORTILLA CHIPS
KRO DRIED CRANBERR,kroger dried cranberries,cranberries,kroger,DRIED CRANBERRIES,DRIED CRANBERRIES,DRIED CRANBERRIES
STO ORG TOFU,simple truth organic tofu,tofu,kroger,ORGANIC SOFT TOFU,ORGANIC SOFT TOFU,ORGANIC SOFT TOFU
STO FRZ CHERRIES,simple truth organic frozen cherries,frozen cherries,kroger,MARASCHINO CHERRIES,MARASCHINO CHERRIES,MARASCHINO CHERRIES
KRO PICKLES,kroger pickles,pickles,kroger,PICKLES,PICKLES,PICKLES
KRO STHWEST KIT,kroger southwest salad kit,salad kit,kroger,PREMIUM SOUTHWEST SALAD KIT,PREMIUM SOUTHWEST SALAD KIT,PREMIUM SOUTHWEST SALAD KIT
KRO SHRED CHEESE,kroger shredded cheese,shredded cheese,kroger,SHREDDED CHEESE,SHREDDED CHEESE,SHREDDED CHEESE
GARLIC X-JUMBO,clove of garlic,clove garlic,kroger,WHOLE CLOVE GARLIC,WHOLE CLOVE GARLIC,WHOLE CLOVE GARLIC
GRAPEFRUIT RED ESTPC,grapefruit red,grapefruit,kroger,RED GRAPEFRUIT,RED GRAPEFRUIT,RED GRAPEFRUIT
VGND SWT POT SPR PC,veggie noodle sweet potato spirals,veggie noodle sweet potato spirals,kroger,SWEET POTATO SPIRALS,SWEET POTATO SPIRALS,SWEET POTATO SPIRALS
CELERY,celery,celery,kroger,CELERY,CELERY,CELERY
MC CILANTRO LEAVES,cilantro leaves,cilantro,publix,"TERANA, CHOPPED CILANTRO LEAVES",CHOPPED CILANTRO LEAVES,"TERANA, CHOPPED CILANTRO LEAVES"
TOMATO ON THE VINE,tomato on the vine,tomato,publix,TOMATOES ON THE VINE,TOMATOES ON THE VINE,TOMATOES ON THE VINE
AVOCADOS HASS,avocado hass,avocado,publix,HASS AVOCADOS,HASS AVOCADOS,HASS AVOCADOS
CHERRIES,cherries,cherries,publix,MARASCHINO CHERRIES,MARASCHINO CHERRIES,MARASCHINO CHERRIES
PEACHES PREMIUM,peaches premium,peaches,publix,PEACHES,PEACHES,PEACHES
ONION SPANISH,onion spanish,onion,publix,ONION,ONION,ONION
MCCORMICK OREGANO,mccormick oregano,oregano,publix,OREGANO,OREGANO,OREGANO
MANDARINS,mandarins,mandarins,publix,MANDARINS,MANDARINS,MANDARINS
CHICKEN TENDERS,chicken tenders,chicken tenders,publix,CHICKEN TENDERS,CHICKEN TENDERS,CHICKEN TENDERS
PBX ART SPIN DIP,publix artichoke spinach dip,artichoke spinach dip,publix,ARTICHOKE SPINACH DIP,ARTICHOKE SPINACH DIP,ARTICHOKE SPINACH DIP
3PC CHICK TEN DIN,3 piece chicken tender dinner,chicken tenders,publix,CHICKEN TENDERS,CHICKEN TENDERS,CHICKEN TENDERS
CAPE COD WAVES SLT,cape cod waves salted potato chips,potato chips,publix,POTATO CHIPS,POTATO CHIPS,POTATO CHIPS
BARCEL TAKIS FUEGO,barcel takis fuego,chips,publix,"BARCEL, TAKIS, TORTILLA CHIPS, HOT",TAKIS,"BARCEL, TORTILLA CHIPS"
PUBLIX FROZEN FRUI,publix frozen fruit,frozen fruit,publix,FROZEN FRUIT BLEND,FROZEN FRUIT BLEND,FROZEN FRUIT BLEND
DAISY COTT CHS 2%,daisy cottage cheese 2%,cottage cheese,publix,COTTAGE CHEESE,COTTAGE CHEESE,COTTAGE CHEESE
SIG POPCORN WHITE,signature white popcorn,pocorn,shaws,WHITE POPCORN,WHITE POPCORN,WHITE POPCORN
SIG GREEN BEANS WH,signature whole green beans canned,canned green beans,shaws,WHOLE GREEN BEANS,WHOLE GREEN BEANS,WHOLE GREEN BEANS
COLLEGE INN BOLD,college inn beef broth,beef broth,shaws,BEEF BROTH,BEEF BROTH,BEEF BROTH
QUAKER CEREAL LIFE,quaker life cereal,cereal,shaws,Quaker Life Cinnamon Cereal 18 Ounce Paper Box,Quaker Life Cinnamon Cereal 18 Ounce Paper Box,Quaker Life Cinnamon Cereal 18 Ounce Paper Box
MARTINELLI CIDAR S,martinelli cidar,cidar,shaws,"MARTINELLI'S GOLD MEDAL, SPARKLING CIDER",SPARKLING CIDER,"MARTINELLI'S GOLD MEDAL, SPARKLING CIDER"
WELCHS SPARKLING,welchs sparkling grape juice,sparkling grape juice,shaws,SPARKLING GRAPE JUICE,SPARKLING GRAPE JUICE,SPARKLING GRAPE JUICE
NBC OREO CKY REG,nabisco oreo cookie regular,oreos,shaws,NABISCO OREO COOKIES OREO 1X10.700 OZ,NABISCO OREO COOKIES OREO 1X10.700 OZ,NABISCO OREO COOKIES OREO 1X10.700 OZ
COCA COLA CLASSIC,coca cola classic,coke,shaws,CLASSIC COLA,CLASSIC COLA,CLASSIC COLA
PILLS BREAD FLOUR,pillsbury bread flour,flour,shaws,BREAD FLOUR,BREAD FLOUR,BREAD FLOUR
GATORADE CHERRY,cherry gatorade,gatorade,shaws,Gatorade Frost Glacier Cherry Thirst Quencher 32 Fluid Ounce Bottle,Gatorade Frost Glacier Cherry Thirst Quencher 32 Fluid Ounce Bottle,Gatorade Frost Glacier Cherry Thirst Quencher 32 Fluid Ounce Bottle
GATORADE GLACIER,gatorade glacier,gatorade,shaws,Gatorade Frost Glacier Cherry Thirst Quencher 32 Fluid Ounce Bottle,Gatorade Frost Glacier Cherry Thirst Quencher 32 Fluid Ounce Bottle,Gatorade Frost Glacier Cherry Thirst Quencher 32 Fluid Ounce Bottle
MS GARLIC SALT,mccormick garlic salt,garlic salt,shaws,GARLIC SALT,GARLIC SALT,GARLIC SALT
ARIZONA SWT TEA,arizona sweet tea,sweet tea,shaws,"ARIZONA, SWEET TEA",SWEET TEA,"ARIZONA, SWEET TEA"
PLN CRN RCE SNK,plain corn rice snack,corn rice snack,shaws,CRUNCHY RICE SNACK,CRUNCHY RICE SNACK,CRUNCHY RICE SNACK
CL GEL FOOD COLORS,gel food colors,food coloring,shaws,GEL FOOD COLORS,GEL FOOD COLORS,GEL FOOD COLORS
BIGELOW TEA OOLONG,bigelow oolong tea,tea,shaws,ORGANIC OOLONG TEA BAGS,ORGANIC OOLONG TEA BAGS,ORGANIC OOLONG TEA BAGS
MINI PRETZELS,mini pretzels,pretzels,shaws,MINI PRETZELS,MINI PRETZELS,MINI PRETZELS
CD CRAN LM SLTZER,canned cranberry lime seltzer,selter,shaws,CRANBERRY LIME SELTZER,CRANBERRY LIME SELTZER,CRANBERRY LIME SELTZER
DELI,everything bagels,bagels,publix,"WEIS, CLASSIC BAGELS, ONION",CLASSIC BAGELS,"WEIS, CLASSIC BAGELS"
PBX SHR MON/JK CHS,publix shredded monteray jack cheese,monteray jack cheese,publix,COLBY AND MONTEREY JACK FINELY SHREDDED CHEESE,COLBY AND MONTEREY JACK FINELY SHREDDED CHEESE,COLBY AND MONTEREY JACK FINELY SHREDDED CHEESE
LEAN GROUND BEEF,lean ground beef,ground beef,publix,LEAN GROUND BEEF,LEAN GROUND BEEF,LEAN GROUND BEEF
KFT CUPS 3 CHEESE,kraft macaroni and cheese cups triple cheese,mac and cheese cups,publix,MAC & CHEESE,MAC & CHEESE,MAC & CHEESE
MARUCH ORIENT 6PK,maruch ramen noodles oriental flavor 6pk,ramen noodles,publix,RAMEN NOODLES,RAMEN NOODLES,RAMEN NOODLES
GRANDS! BUTTERMILK,pillsbury grands! southern homestyle buttermilk biscuits,biscuits,publix,BUTTERMILK BISCUITS,BUTTERMILK BISCUITS,BUTTERMILK BISCUITS
PACE THIK/CHUNK SA,pace thick and chunky salsa,salsa,publix,"PACE, CHUNKY SALSA",CHUNKY SALSA,"PACE, CHUNKY SALSA"
PUBLIX SOUR CREAM LT,publix sour cream light,sour cream,publix,SOUR CREAM,SOUR CREAM,SOUR CREAM
SPINACH PUBLIX,spinach publix,spinach,publix,LEAF SPINACH,LEAF SPINACH,LEAF SPINACH
MCCORMICK TACO MIX,mccormick taco mix,taco mix,publix,CHIPOTLE TACO MIX,CHIPOTLE TACO MIX,CHIPOTLE TACO MIX
BRC FLRT EAT SMART,broccoli florret eat smart,broccoli florret,publix,BROCCOLI,BROCCOLI,BROCCOLI
KIKKOMAN SOY SAUCE,kikkoman soy sauce,soy sauce,publix,SOY SAUCE,SOY SAUCE,SOY SAUCE
GRAPES WHT SDLS,grapes white seedless,grapes,publix,GREEN GRAPE,GREEN GRAPE,GREEN GRAPE
SLICE ONION SQUASH,sliced onion and squash package,onion and squash,publix,SQUASH WITH VIDALIA ONIONS,SQUASH WITH VIDALIA ONIONS,SQUASH WITH VIDALIA ONIONS
STIR FRY MX 4 SRV,stir fry mix 4 serving,stir fry mix,publix,ASIAN STYLE STIR FRY BLEND,ASIAN STYLE STIR FRY BLEND,ASIAN STYLE STIR FRY BLEND
NV PROTEIN BARS,nature valley protein bars,protein bars,publix,Nature Valley Sweet & Salty Roasted Mixed Nut Granola Bar,Nature Valley Sweet & Salty Roasted Mixed Nut Granola Bar,Nature Valley Sweet & Salty Roasted Mixed Nut Granola Bar
BELL PEPPERS RED,bell peppers red,bell peppers,publix,FIRE ROASTED RED BELL PEPPERS,FIRE ROASTED RED BELL PEPPERS,FIRE ROASTED RED BELL PEPPERS
PEAS SNOW MICRO,peas snow microwave,peas snow,publix,"PUBLIX, SNOW PEAS",SNOW PEAS,"PUBLIX, SNOW PEAS"
KIND NUTRITI FB,kind nutrition bar,nutrition bar,target,"KIND HEALTHY GRAINS, CHEWY WITH A CRUNCH GRANOLA BAR, DARK CHOCOLATE CHUNK",CHEWY WITH A CRUNCH GRANOLA BAR,"KIND HEALTHY GRAINS, CHEWY WITH A CRUNCH GRANOLA BAR"
NATR VAL BAR FB,nature valley protein bars,protein bars,target,Nature Valley Sweet & Salty Roasted Mixed Nut Granola Bar,Nature Valley Sweet & Salty Roasted Mixed Nut Granola Bar,Nature Valley Sweet & Salty Roasted Mixed Nut Granola Bar
ORG ZUCCHINI,organic zucchini,zucchini,publix,ORGANIC ZUCCHINI SQUASH,ORGANIC ZUCCHINI SQUASH,ORGANIC ZUCCHINI SQUASH
BROCCOLETTI,broccoli florret,broccoli,publix,BROCCOLI,BROCCOLI,BROCCOLI
PEPPERS GREEN BELL,peppers green bell,peppers bell,publix,DICED GREEN BELL PEPPERS,DICED GREEN BELL PEPPERS,DICED GREEN BELL PEPPERS
GRAPES RED SDLS,graoes red seedless,grapes,publix,RED GRAPES,RED GRAPES,RED GRAPES
ONIONS YELLOW,onions yellow,onions,publix,YELLOW ONIONS,YELLOW ONIONS,YELLOW ONIONS
BEEF FOR STIR FRY,beef for stir fry,beef strips,publix,ASIAN INSPIRED BEEF STRIPS,ASIAN INSPIRED BEEF STRIPS,ASIAN INSPIRED BEEF STRIPS
PBX SHRD MILD CHD,publix shredded  mild cheddar cheese,shredded cheese,publix,SHREDDED MILD CHEDDAR CHEESE,SHREDDED MILD CHEDDAR CHEESE,SHREDDED MILD CHEDDAR CHEESE
FRNKS BUFF WNG SAU,buffalo wing sauce,buffalo wing sauce,publix,BUFFALO WING SAUCE,BUFFALO WING SAUCE,BUFFALO WING SAUCE
PUB RANCH DRESS,publix ranch dressing,ranch dressing,publix,"HIDDEN VALLEY, RANCH DRESSING",RANCH DRESSING,"HIDDEN VALLEY, RANCH DRESSING"
BNLS CHICK BREST,chicken breast,chicken brest,publix,RAW STUFFED CHICKEN BREASTS,RAW STUFFED CHICKEN BREASTS,RAW STUFFED CHICKEN BREASTS
SEA SCALLOPS,sea scallops,sea scallops,publix,SEA SCALLOPS,SEA SCALLOPS,SEA SCALLOPS
PHIL CREAM CHEESE,philadelphia cream cheese,cream cheese,publix,PHILADELPHIA CREAM CHEESE-SOFT LIGHT,PHILADELPHIA CREAM CHEESE-SOFT LIGHT,PHILADELPHIA CREAM CHEESE-SOFT LIGHT
SANTTITAS YEL CORN,santtitas yellow corn,yellow corn,publix,CORN,CORN,CORN
NESTLE MORSELS,nestle morsels chocolate chips,chocolate chips,publix,"NESTLE, GRAND ASSORTED CHOCOLATE",GRAND ASSORTED CHOCOLATE,"NESTLE, GRAND ASSORTED CHOCOLATE"
PUBLIX CREAM CHEES,publix cream cheese,cream cheese,publix,PHILADELPHIA CREAM CHEESE-SOFT LIGHT,PHILADELPHIA CREAM CHEESE-SOFT LIGHT,PHILADELPHIA CREAM CHEESE-SOFT LIGHT
